,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Jason Huntley,Huntley20172RB,#VALUE!,#VALUE!,5,172,RB,2020,UNK,0,0.0,0.0,0.0,0.0,0.0,0,,#N/A,0.0,0.0,#DIV/0!,#DIV/0!,#N/A,0.0,0.0,#DIV/0!,0.0,#N/A,-,0.0,#DIV/0!,#N/A,-,0.0,-,-,-,0.00,-,-,-,0.00,-,0.0,NA,0.00,0.00,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Javon Leake,Leake200RB,Maryland,ACC,UDFA,UDFA,RB,2020,22,3,10.0,155.0,1203.0,7.8,27.0,0,0.4,0.0,7.0,7.0,4.9,95.1,0.1,1.0,1.0,0.5,35.4,3.9,18.4,18.4,10.7,-15.8,-7.8,-7.8,-11.8,21.90,136.10,136.10,77.43,5.48,11.34,11.34,7.86,-5.3,NA,0.00,7.08,,-15.8,-11.9,-7.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
JD King,King200RB,Georgia Southern,Sun Belt,UDFA,UDFA,RB,2020,21,3,16.0,342.0,1583.0,4.6,32.0,0,0.5,9.5,37.6,1.7,9.9,90.1,0.5,1.0,1.0,0.6,25.6,8.8,13.2,13.2,8.6,-6.3,-8.5,-6.3,-10.2,90.40,131.40,131.40,88.10,7.53,10.95,10.95,7.93,-5.0,NA,0.00,4.51,-6.3,-15.7,-8.5,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
JJ Taylor,Taylor200RB,Arizona,Pac-12,UDFA,UDFA,RB,2020,23,4,62.0,648.0,3749.0,5.8,39.0,1,1.6,5.8,28.6,28.6,13.0,87.0,0.3,1.8,1.2,1.1,40.4,4.4,17.4,26.3,14.8,-15.3,-8.7,0.1,-8.6,41.70,163.00,208.70,139.23,13.90,14.82,17.39,14.29,-4.5,NA,0.00,8.40,,-15.3,-10.7,0.1,-8.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Jordan Cronkrite,Cronkrite200RB,South Florida,American,UDFA,UDFA,RB,2020,23,4,48.0,443.0,2483.0,5.6,43.0,1,1.1,36.2,45.3,16.3,15.0,85.0,0.3,1.2,1.1,0.7,34.9,8.1,17.1,19.7,13.0,-7.0,-9.0,-6.5,-8.8,54.60,121.10,176.10,102.58,4.96,12.11,14.68,9.40,-3.6,NA,0.00,7.02,-7.0,-12.8,,-6.5,-9.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Kareem Walker,Walker200RB,Michigan,Big Ten,UDFA,UDFA,RB,2020,22,1,0.0,20.0,68.0,3.4,5.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.1,0.1,0.1,3.4,1.7,1.7,1.7,1.7,-18.0,-18.0,-18.0,-,12.80,12.80,12.80,-,2.56,2.56,2.56,-,-2.3,NA,0.00,0.00,,-18.0,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Kennedy Brooks,Brooks200RB,Oklahoma,Big 12,UDFA,UDFA,RB,2020,21,5,39.0,527.0,3652.0,6.9,44.0,0,0.9,19.1,19.1,0.0,8.6,91.4,1.0,1.2,0.5,0.8,26.6,21.2,6.9,21.2,11.6,6.2,-19.2,6.2,-10.2,152.70,52.80,193.30,115.66,15.27,5.87,24.50,15.03,-3.1,NA,0.00,9.38,6.2,-4.6,-9.8,-23.5,-19.2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
LeVante Bellamy,Bellamy200RB,Western Michigan,MAC,UDFA,UDFA,RB,2020,23,5,56.0,655.0,4028.0,6.1,47.0,1,1.2,12.7,13.1,3.6,9.1,90.9,0.6,1.7,1.7,0.9,60.4,6.8,30.7,30.7,13.1,-8.3,4.6,4.6,-8.7,72.50,298.50,298.50,134.96,5.58,24.88,24.88,13.08,-6.0,NA,0.00,8.70,-8.3,-17.9,-14.5,-7.4,4.6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Madre London,London200RB,Tennessee,SEC,UDFA,UDFA,RB,2020,24,4,15.0,287.0,1235.0,4.3,40.0,0,0.4,4.4,16.9,2.4,8.5,91.5,0.5,0.5,0.3,0.3,18.7,9.0,8.0,9.4,7.9,-10.6,-18.1,-10.6,-15.5,73.30,41.10,73.30,52.63,6.66,4.11,6.66,5.09,-5.8,NA,0.00,4.85,,-10.6,-16.6,-16.9,-18.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Malik Davis,Davis200RB,Florida,SEC,UDFA,UDFA,RB,2020,21,3,15.0,140.0,793.0,5.7,20.0,0,0.8,9.9,35.1,27.8,15.5,84.5,0.8,0.8,0.1,0.4,13.5,11.5,3.0,11.5,5.1,-3.6,-18.6,-3.6,-13.7,77.40,22.50,77.40,37.43,11.06,2.25,11.06,5.81,-6.9,NA,0.00,4.15,-3.6,-18.8,-18.6,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Michael Warren,Warren200RB,Cincinnati,CUSA,UDFA,UDFA,RB,2020,21,3,48.0,566.0,3083.0,5.4,37.0,1,1.3,15.0,16.0,11.9,14.1,85.9,0.5,1.6,1.5,1.2,49.3,7.6,29.0,29.0,21.0,-7.4,7.4,7.4,2.2,49.10,246.70,270.50,188.77,4.09,18.98,22.54,15.20,1.4,NA,0.00,8.11,-7.4,6.6,7.4,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Patrick TTaylor,TTaylor200RB,Memphis,CUSA,UDFA,UDFA,RB,2020,22,4,55.0,591.0,3327.0,5.6,44.0,0,1.3,6.3,14.9,12.9,13.0,87.0,0.6,1.3,0.4,0.9,25.3,8.9,7.5,19.7,13.6,-6.2,-18.8,0.0,-7.0,81.30,78.20,256.90,155.43,6.78,13.03,18.35,13.82,-2.1,NA,0.00,7.48,-6.2,0.0,-3.2,-18.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Reggie Corbin,Corbin200RB,Illinois,Big Ten,UDFA,UDFA,RB,2020,24,4,38.0,399.0,2663.0,6.7,42.0,0,0.9,17.6,25.7,4.2,12.9,87.1,0.9,1.5,0.9,0.9,35.7,12.7,17.8,20.4,13.2,-7.0,-8.3,-5.8,-10.2,85.50,105.20,196.10,101.58,7.13,9.56,16.34,8.95,-4.9,NA,0.00,8.49,,-7.0,-19.8,-5.8,-8.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Rico Dowdle,Dowdle200RB,South Carolina,SEC,UDFA,UDFA,RB,2020,22,4,62.0,490.0,2655.0,5.4,39.0,1,1.6,6.7,33.8,25.1,18.2,81.8,0.9,0.9,0.8,0.8,30.8,20.9,14.0,20.9,15.2,5.9,-12.2,5.9,-5.4,138.90,112.50,138.90,110.38,15.43,11.25,15.43,11.33,-2.4,NA,0.00,6.71,5.9,-10.1,-5.3,-12.2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Rodney Smith,Smith200RB,Minnesota,Big Ten,UDFA,UDFA,RB,2020,24,5,64.0,927.0,4569.0,4.9,51.0,1,1.3,15.6,16.9,5.4,11.2,88.8,0.9,1.5,1.5,1.1,45.8,13.0,21.7,25.7,15.8,-6.7,5.7,5.7,-6.2,107.40,169.60,253.60,138.98,8.95,14.13,19.51,13.00,-1.3,NA,0.00,7.50,,-6.7,4.0,-9.7,-24.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Salvon Ahmed,Ahmed200RB,Washington,Pac-12,UDFA,UDFA,RB,2020,23,3,47.0,395.0,2321.0,5.9,38.0,0,1.2,16.6,19.7,7.6,13.3,86.7,0.6,1.3,1.3,0.9,48.9,6.8,25.1,25.1,15.6,-14.9,-1.0,-1.0,-9.1,77.50,192.40,192.40,135.03,5.96,16.03,16.03,10.80,-3.3,NA,0.00,8.50,,,-14.9,-11.4,-1.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Scottie Phillips,Phillips200RB,Ole Miss,SEC,UDFA,UDFA,RB,2020,22,2,18.0,296.0,1652.0,5.6,20.0,0,0.9,10.2,12.4,12.4,11.0,89.0,1.2,1.2,0.7,1.0,32.9,27.2,11.9,27.2,19.5,5.5,-14.4,5.5,-4.4,197.30,105.90,197.30,151.60,17.94,11.77,17.94,14.85,-0.2,NA,0.00,8.16,,,5.5,-14.4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Sewo Olonilua,Olonilua200RB,Texas Christian,MWC,UDFA,UDFA,RB,2020,22,4,60.0,408.0,2007.0,4.9,46.0,1,1.3,12.2,33.5,17.5,19.1,80.9,0.1,0.8,0.7,0.6,30.2,2.2,17.0,17.0,10.5,-12.9,-9.2,-8.7,-10.2,21.90,143.10,143.10,93.68,3.13,11.93,11.93,7.64,-4.9,NA,0.00,5.23,-12.9,-8.7,-10.0,-9.2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Soso Jamabo,Jamabo200RB,UCLA,Pac-12,UDFA,UDFA,RB,2020,23,4,38.0,281.0,1642.0,5.8,37.0,0,1.0,12.6,38.0,0.0,28.0,72.0,0.5,0.7,0.0,0.5,15.7,8.5,0.2,16.3,10.0,-6.5,-26.1,-4.8,-10.7,75.20,1.20,118.00,70.05,5.78,0.40,11.80,6.45,-3.7,NA,0.00,6.04,-6.5,-4.8,-5.4,-26.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Stephen Carr,Carr200RB,USC,Pac-12,UDFA,UDFA,RB,2020,21,3,47.0,265.0,1500.0,5.7,28.0,1,1.7,34.1,34.1,26.5,23.8,76.2,0.5,0.6,0.6,0.6,26.1,7.2,14.6,14.6,9.9,-7.9,-7.1,-7.1,-8.9,90.10,111.90,111.90,87.67,10.01,11.19,11.19,9.33,-4.3,NA,0.00,5.28,-7.9,-11.6,-7.1,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Tavien Feaster,Feaster200RB,South Carolina,SEC,UDFA,UDFA,RB,2020,22,4,38.0,381.0,2232.0,5.9,44.0,0,0.9,0.0,14.3,11.5,10.8,89.2,0.2,0.9,0.9,0.6,32.6,3.8,17.1,17.1,10.0,-11.2,-9.1,-6.9,-10.6,34.10,122.90,138.10,96.80,5.68,12.29,12.29,8.60,-5.3,NA,0.00,6.23,-11.2,-6.9,-15.3,-9.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Tony Jones,Jones200RB,Notre Dame,Ind,UDFA,UDFA,RB,2020,22,3,27.0,298.0,1754.0,5.9,35.0,0,0.8,4.9,28.6,10.8,15.6,84.4,0.3,1.1,1.1,0.7,33.1,3.9,18.0,18.0,10.3,-15.7,-8.2,-8.2,-12.2,48.40,153.10,153.10,95.47,4.40,12.76,12.76,8.08,-5.4,NA,0.00,6.56,,-15.7,-12.6,-8.2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Tory Carter,Carter200RB,Texas,Big 12,UDFA,UDFA,RB,2020,20,2,6.0,8.0,58.0,7.3,11.0,0,0.5,90.7,100.0,100.0,93.1,6.9,0.1,0.1,0.0,0.0,0.0,2.3,0.1,2.3,1.2,-12.7,-19.6,-12.7,-16.2,14.30,3.50,14.30,8.90,2.86,0.58,2.86,1.72,-5.9,NA,0.00,3.17,-12.7,-19.6,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Ty Chandler,Chandler200RB,Tennessee,SEC,UDFA,UDFA,RB,2020,22,3,39.0,348.0,1885.0,5.4,33.0,0,1.2,26.2,26.2,5.9,17.5,82.5,0.6,1.2,0.9,0.9,31.4,10.2,16.0,22.5,16.2,-9.5,-10.2,0.8,-6.3,63.30,93.90,142.30,99.83,5.75,8.54,12.94,9.08,-2.1,NA,0.00,7.14,,-9.5,0.8,-10.2,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Darrell Henderson,Henderson1970RB,Memphis,American,3,70,RB,2019,22,3,63.0,494.0,4310.0,8.7,38.0,2,1.7,33.0,33.0,13.4,17.6,82.4,0.8,2.2,2.2,1.5,46.5,14.9,28.1,28.1,21.1,6.4,7.8,7.8,6.3,139.90,393.60,393.60,254.07,10.76,30.28,30.28,20.03,3.0,118.5,11.66,12.45,6.4,4.5,7.8,,,,31.28001579,113.7,4.49,68.375,208,22,33.5,121,NA,NA,102.3547417,88.4101944,8.625,31,0,0,0,0,0,3.2
Bryce Love,Love19112RB,Stanford,Pac-12,4,112,RB,2019,22,4,49.0,618.0,4330.0,7.0,49.0,1,1.0,52.6,52.6,11.8,10.7,89.3,0.5,2.6,1.1,1.3,58.6,6.2,25.5,34.1,19.9,-2.2,9.5,13.9,4.7,80.50,139.80,335.10,168.50,5.75,13.98,25.78,13.85,2.0,173.6,9.69,11.06,-2.2,-2.3,13.9,9.5,,,29.64183458,NA,NA,68.875,200,NA,NA,NA,NA,NA,NA,NA,9.125,29.375,-,-,-,-,-,-
Devin Singletary,Singletary1974RB,Florida Atlantic,CUSA,3,74,RB,2019,22,3,51.0,765.0,4684.0,6.1,38.0,1,1.3,13.8,13.8,2.6,8.5,91.5,1.4,2.1,1.5,1.7,54.7,22.4,27.6,30.0,26.7,14.0,7.3,14.1,11.8,216.40,277.65,429.20,307.75,18.03,23.14,30.66,23.94,5.5,100.9,9.42,9.10,14.0,14.1,7.3,,,,31.32469128,96.5,4.66,67.5,203,15,35,117,4.4,7.32,86.09587949,72.47000314,8.5,28.875,0,0,0,1,0,12.49
David Montgomery,Montgomery1973RB,Iowa State,Big 12,3,73,RB,2019,22,3,71.0,695.0,3508.0,5.0,37.0,2,1.9,18.6,20.5,11.4,16.6,83.4,0.8,1.7,1.7,1.4,68.0,10.9,33.8,37.6,27.4,-5.0,17.7,17.7,10.0,94.20,237.30,246.30,192.60,7.85,19.78,19.78,15.52,3.1,115.9,8.63,7.83,,-5.0,17.3,17.7,,,31.73989847,98.1,4.63,70.125,222,15,28.5,121,NA,NA,96.61821418,87.79623402,9.25,31.375,0,0,1,1,0,10.47
Miles Sanders,Sanders1953RB,Penn State,Big Ten,2,53,RB,2019,22,3,30.0,293.0,1784.0,6.1,31.0,1,1.0,11.5,13.6,9.7,10.4,89.6,0.2,1.7,1.7,0.7,37.4,3.6,20.0,20.0,9.1,-12.3,4.0,4.0,-8.3,34.80,211.50,211.50,95.47,3.87,17.63,17.63,8.50,-4.7,133.4,8.23,6.40,,-12.3,-16.5,4.0,,,29.74156662,120.3,4.49,70.625,211,20,36,124,4.19,6.89,103.831012,95.69327337,9.25,30.625,0,0,1,1,0,14.17
Josh Jacobs,Jacobs1924RB,Alabama,SEC,1,24,RB,2019,21,2,47.0,287.0,1999.0,7.0,25.0,0,1.9,21.6,37.2,28.0,27.8,72.2,0.7,0.9,0.9,0.7,27.1,8.1,6.3,8.1,7.2,-0.4,-4.0,-0.4,-4.7,110.30,185.40,185.40,124.30,7.88,0.00,7.88,7.45,-2.4,57.2,8.18,5.16,-0.4,-9.6,-4.0,,,,31.56638929,NA,NA,70,220,NA,NA,NA,NA,NA,NA,NA,10.125,31.625,0,0,1,1,1,14.89
Justice Hill,Hill19113RB,Oklahoma State,Big 12,4,113,RB,2019,21,3,49.0,681.0,3843.0,5.6,36.0,1,1.4,3.9,11.5,6.8,7.9,92.1,1.3,1.7,1.1,1.3,43.8,17.6,18.0,27.9,21.1,9.1,-2.3,11.9,6.3,159.80,166.80,292.70,206.43,12.29,16.68,22.52,17.16,2.9,142.3,8.13,8.66,9.1,11.9,-2.3,,,,28.71660413,NA,4.4,69.625,198,21,40,130,NA,NA,105.6536439,94.62119838,9.5,31.625,0,0,0,0,0,2.69
Damien Harris,Harris1987RB,Alabama,SEC,3,87,RB,2019,22,4,50.0,516.0,3417.0,6.6,52.0,1,1.0,7.6,19.7,19.7,11.8,88.2,0.2,1.2,1.1,0.9,28.8,2.2,15.1,15.6,11.0,-6.3,-0.9,-0.9,-4.2,27.00,176.00,187.10,135.43,3.00,12.57,13.36,9.76,-2.3,121.9,7.91,7.27,-6.3,-4.7,-4.7,-0.9,,,30.88206338,NA,4.57,70.125,216,16,37,121,NA,NA,99.04189621,89.99427021,9.75,30.75,0,0,0,0,0,1.2
Alexander Mattison,Mattison19102RB,Boise State,MWC,3,102,RB,2019,21,3,60.0,641.0,3340.0,5.2,38.0,2,1.6,14.1,20.7,10.9,15.3,84.7,0.4,1.6,1.6,1.2,67.4,7.4,34.8,34.8,23.5,-1.1,14.6,14.6,8.6,67.20,287.80,287.80,199.33,6.11,22.14,22.14,15.20,4.5,124.4,7.71,7.56,-1.1,12.3,14.6,,,,31.15111954,113.9,4.67,70.625,221,22,35,127,4.29,7.13,92.92974535,85.65342905,9.125,31,0,0,0,0,0,5.42
Benny Snell,Snell19122RB,Kentucky,SEC,4,122,RB,2019,21,3,29.0,740.0,3945.0,5.3,36.0,0,0.8,3.5,7.4,7.4,5.5,94.5,1.3,1.8,1.8,1.6,60.5,20.2,28.7,33.8,27.6,11.7,8.5,17.9,12.7,193.80,248.15,264.50,235.48,17.62,20.68,20.68,19.55,6.1,117.4,7.70,8.35,11.7,17.9,8.5,,,,31.79871058,96.9,4.66,70.375,224,16,29.5,119,4.33,7.07,95.00234978,86.94641764,9.375,31,0,0,0,0,0,4.48
Trayveon Williams,Williams19182RB,Texas A&M,SEC,6,182,RB,2019,21,3,66.0,647.0,3940.0,6.1,38.0,2,1.7,7.9,19.4,15.4,14.2,85.8,1.2,2.0,2.0,1.4,63.2,17.4,34.9,34.9,23.6,8.9,14.6,14.6,8.8,181.80,303.20,303.20,217.33,13.98,23.32,23.32,17.07,4.1,112.5,7.04,9.72,8.9,2.8,14.6,,,,31.20703422,105.6,4.51,68.125,206,19,33,121,4.44,7.44,99.5843398,85.3871845,9.25,30.375,-,-,-,-,-,-
Qadree Ollison,Ollison19152rb,Pitt,ACC,5,152,RB,2019,22,4,50.0,574.0,3211.0,5.6,48.0,1,1.0,6.4,32.8,5.3,11.7,88.3,1.4,1.6,1.6,1.0,45.2,27.8,20.2,27.8,17.1,19.4,4.2,19.4,1.9,205.80,202.60,205.80,140.78,15.83,14.47,15.83,11.01,-0.1,127.2,6.34,7.43,19.4,-13.1,-2.8,4.2,,,30.39211078,105.8,4.58,72.625,228,21,29.5,114,4.31,7.53,103.6341598,101.0163138,9.625,31.5,0,0,0,0,0,5.96
Ty Johnson,Johnson19186RB,Maryland,Big Ten,6,186,RB,2019,21,3,27.0,340.0,2673.0,7.9,34.0,0,0.8,17.0,17.0,4.2,10.8,89.2,1.4,1.4,0.7,1.1,25.0,19.2,7.8,20.0,15.7,10.8,-12.5,10.8,0.8,179.00,76.80,179.00,130.10,13.77,8.53,13.77,11.17,0.0,NA,5.82,7.98,10.8,4.1,-12.5,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3.98
Myles Gaskin,Gaskin19234RB,Washington,Pac-12,7,234,RB,2019,22,4,62.0,983.0,5668.0,5.8,51.0,0,1.2,1.4,14.4,6.4,8.2,91.8,1.5,2.0,1.4,1.6,51.7,28.2,24.5,34.6,27.8,19.7,8.5,19.7,12.7,222.10,206.50,324.20,247.20,17.08,18.77,24.94,19.41,6.3,120.3,5.69,9.71,19.7,8.2,14.3,8.5,,,30.05471492,119.6,4.58,69.25,205,24,35.5,118,4.27,7.19,93.17983664,82.55810226,8.75,29.5,0,0,0,0,0,4.49
Jordan Scarlett,Scarlett19154RB,Florida,SEC,5,154,RB,2019,23,3,15.0,359.0,1954.0,5.4,35.0,0,0.4,0.5,9.8,9.8,5.5,94.5,0.2,1.1,1.0,0.8,39.0,3.8,13.1,26.9,14.6,-12.1,6.1,6.7,0.2,25.20,126.00,131.20,94.13,2.80,9.69,10.09,7.53,-0.7,135.8,5.53,6.25,,-12.1,6.7,,6.1,,29.31870074,102.7,4.47,70.625,208,21,30,116,4.63,7.37,104.1989249,96.029836,8.875,30.375,0,0,0,0,0,0.9
Travis Homer,Homer19204RB,Miami (FL),ACC,6,204,RB,2019,21,2,37.0,364.0,2361.0,6.5,26.0,0,1.4,18.4,18.4,15.9,17.2,82.8,1.4,1.4,1.4,1.4,35.8,24.6,16.0,24.6,20.3,16.1,0.1,16.1,8.1,191.00,160.10,191.00,175.55,14.69,12.32,14.69,13.50,2.5,132.9,4.71,6.96,16.1,0.1,,,,,28.5336644,114.4,4.48,70.375,201,17,39.5,130,4.31,7.07,99.79619825,91.31582274,10,31.5,0,0,0,0,0,4.6
Mike Weber,Weber19218RB,Ohio State,Big Ten,7,218,RB,2019,21,3,53.0,493.0,2869.0,5.8,37.0,2,1.4,7.7,13.1,10.8,10.1,89.9,1.2,1.2,0.9,0.9,31.3,16.2,15.9,16.2,14.8,7.7,-4.4,7.7,0.0,195.70,152.20,195.70,163.30,15.05,12.68,15.05,13.19,-0.4,132.4,4.48,7.16,7.7,-3.4,-4.4,,,,30.60203773,117.7,4.47,69.625,211,22,33.5,NA,NA,NA,105.701794,94.67577085,9.375,29.75,-,-,-,-,-,-
Rodney Anderson,Anderson19211RB,Oklahoma,Big 12,6,211,RB,2019,22,3,17.0,217.0,1566.0,7.2,16.0,0,1.1,0.0,19.5,0.0,17.9,82.1,0.0,1.5,0.1,0.5,21.9,0.0,2.6,23.3,8.7,-8.4,-13.4,3.1,-6.2,0.50,29.90,269.20,99.87,0.50,14.95,20.71,12.05,-1.4,148.0,4.25,6.53,-8.4,,3.1,-13.4,,,30.06555133,NA,NA,72.375,224,25,NA,NA,NA,NA,NA,NA,9.75,30.75,-,-,-,-,-,-
Dexter Williams,Williams19194RB,Notre Dame,Ind,6,194,RB,2019,22,4,22.0,279.0,1798.0,6.4,32.0,0,0.7,0.0,11.8,11.8,9.0,91.0,0.1,1.2,1.2,0.5,42.7,1.6,23.4,23.4,9.7,-6.9,7.4,7.4,-5.5,14.10,206.80,206.80,83.45,2.35,22.98,22.98,9.71,-4.1,130.1,4.11,5.62,-6.9,-9.1,-13.5,7.4,,,29.56769508,113.1,4.57,71,212,17,36,130,4.16,7,97.20778702,90.54469735,9.625,32.25,0,0,0,0,0,0.2
darwin thompson,thompson19214rb,Utah State,MWC,6,214,rb,2019,22,1,23.0,176.0,1395.0,7.9,13.0,1,1.8,25.2,25.2,25.2,25.2,74.8,1.5,1.5,1.5,1.5,38.4,23.0,23.0,23.0,23.0,7.0,7.0,7.0,-,258.50,258.50,258.50,-,19.88,19.88,19.88,-,0.1,127.2,0.00,0.00,,,,7.0,,,30.40958389,119,NA,68,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3.31
Kerrith Whyte,Whyte19PROSPECTRB,Florida Atlantic,CUSA,7,PROSPECT,RB,2019,22,3,22.0,254.0,1585.0,6.2,33.0,0,0.7,12.7,15.6,15.6,14.3,85.7,0.2,1.1,1.1,0.6,26.3,2.6,18.1,18.1,8.1,-13.3,2.1,2.1,-9.3,27.60,172.60,172.60,86.17,3.45,14.38,14.38,7.44,-5.1,NA,0.00,5.29,,-13.3,-16.8,2.1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Alex Barnes,Barnes190RB,Kansas State,Big 12,UDFA,UDFA,RB,2019,22,3,25.0,483.0,2839.0,5.9,33.0,1,0.8,0.0,12.5,12.5,7.9,92.1,0.5,2.0,2.0,1.2,60.8,7.5,32.9,32.9,18.2,-8.4,16.9,16.9,0.8,80.20,246.90,246.90,154.35,10.03,20.58,20.58,13.69,-1.5,127.8,0.00,8.19,,-8.4,-6.0,16.9,,,30.33399375,153.6,4.59,72.375,226,34,38.5,126,4.1,6.95,101.8328017,98.57627179,10,31,-,-,-,-,-,-
Damarea Crockett,Crockett190RB,Missouri,SEC,UDFA,UDFA,RB,2019,21,3,21.0,401.0,2389.0,6.0,28.0,0,0.8,1.3,11.0,11.0,5.7,94.3,1.2,1.2,0.9,0.9,34.9,20.9,15.8,20.9,15.1,12.4,-4.4,12.4,0.2,172.60,139.70,172.60,128.63,15.69,12.70,15.69,13.55,-0.4,68.4,0.00,6.32,12.4,-7.3,-4.4,,,,31.38080845,118.7,NA,71,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Devine Ozigbo,Ozigbo190RB,Nebraska,Big Ten,UDFA,UDFA,RB,2019,22,4,49.0,468.0,2684.0,5.7,39.0,1,1.3,22.9,22.9,15.8,18.2,81.8,0.3,1.5,1.5,0.8,45.4,3.7,24.4,24.4,13.8,-4.8,8.4,8.4,-1.4,38.10,223.50,223.50,110.85,4.76,18.63,18.63,10.63,-1.6,NA,0.00,6.36,-4.8,-5.2,-4.1,8.4,,,NA,110.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Elijah Holyfield,Holyfield190RB,Georgia,SEC,UDFA,UDFA,RB,2019,21,3,6.0,209.0,1337.0,6.4,25.0,0,0.2,39.6,39.6,3.6,4.4,95.6,0.1,1.2,1.2,0.5,25.9,0.5,13.3,13.3,5.6,-8.0,-7.0,-7.0,-9.3,5.80,145.20,145.20,64.57,1.93,11.17,11.17,5.95,-4.5,147.0,0.00,3.14,-8.0,-12.8,-7.0,,,,30.80500087,NA,4.78,70.375,217,26,29.5,118,NA,NA,83.13389777,76.08016432,9,30.375,-,-,-,-,-,-
